ICD10,n_of_positive_patient,n_of_negative_patient,DIAGNOSIS_DESCRIPTION,LLM_selected,confidence,rationale
L54,0,66,Erythema in diseases classified elsewhere,0,0.9,"L54 represents erythema secondary to other classified diseases and has zero OUD cases among 66 patients (0% prevalence). This nonspecific skin manifestation lacks clinical plausibility for predicting OUD risk, shows no statistical signal, and provides no meaningful predictive value. The diagnosis is too broad and unrelated to opioid exposure or substance use vulnerabilities."
L64,0,149,Androgenic alopecia,0,0.9,"Androgenic alopecia (male pattern baldness) is a common genetic condition unrelated to opioid use, pain conditions, or substance abuse vulnerabilities. With 0% OUD prevalence among 149 patients, it shows no predictive signal. There's no clinically plausible mechanism linking hair loss patterns to future OUD risk, making it uninformative for prediction."
L86,0,3,Keratoderma in diseases classified elsewhere,0,0.9,"Keratoderma in diseases classified elsewhere is a skin condition with no plausible clinical connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among the 3 patients and no mechanistic pathway linking skin keratinization disorders to opioid risk, this diagnosis lacks both statistical signal and clinical relevance for OUD prediction."
M49,0,38,Spondylopathies in diseases classified elsewhere,0,0.8,"M49 represents spondylopathies secondary to other classified diseases, making it a consequence rather than predictor. With 0% OUD prevalence among 38 patients, it shows no statistical signal for prediction. The diagnosis lacks direct clinical connection to opioid exposure or substance use vulnerabilities, offering no predictive value for future OUD risk."
N06,0,103,Isolated proteinuria with specified morphological lesion,0,0.85,"Isolated proteinuria with specified morphological lesion is a kidney condition with no clear clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 103 patients, it shows no statistical signal for predictive value. This specialized nephrology diagnosis lacks biological plausibility for OUD risk prediction."
N37,0,28,Urethral disorders in diseases classified elsewhere,0,0.8,"N37 represents urethral disorders secondary to other classified diseases, making it a manifestation rather than a primary condition. With 0% OUD prevalence among 28 patients, it shows no predictive signal. The diagnosis lacks clinical plausibility for OUD risk prediction as urethral disorders are not typically associated with pain conditions, substance use vulnerabilities, or opioid exposure pathways."
N51,0,29,Disorders of male genital organs in diseases classified elsewhere,0,0.8,"This diagnosis shows no predictive signal with 0% OUD prevalence among 29 patients. Male genital organ disorders in other diseases lack clear clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict future OUD risk. The complete absence of statistical association combined with weak clinical plausibility makes this uninformative for prediction."
N86,0,260,Erosion and ectropion of cervix uteri,0,0.9,"Cervical erosion and ectropion is a gynecological condition unrelated to pain, opioid exposure, or substance use vulnerabilities. With 0% OUD prevalence among 260 patients, it shows no statistical signal for predictive value. The condition has no clinically plausible pathway to OUD risk and would add noise without meaningful information to the predictive model."
O01,0,627,Hydatidiform mole,0,0.9,"Hydatidiform mole is a rare pregnancy-related condition with no clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 627 patients, it shows no predictive signal. This gynecologic condition lacks any plausible biological or behavioral pathway to future substance use disorders, making it uninformative for OUD prediction."
O29,0,84,Complications of anesthesia during pregnancy,0,0.8,"While anesthesia complications during pregnancy could theoretically involve opioid exposure, the complete absence of OUD cases (0/84) provides no predictive signal. The diagnosis is highly specific to pregnancy-related anesthesia events and lacks clinical plausibility for predicting future OUD risk. Without any statistical association or clear mechanistic pathway to substance use vulnerability, inclusion would not improve model performance."
P10,0,42,Intracranial laceration and hemorrhage due to birth injury,0,0.9,"This diagnosis represents a specific birth injury occurring in newborns, with no patients developing OUD in the dataset. While birth trauma could theoretically lead to pain exposure, the complete absence of OUD cases (0/42) and the temporal disconnect between neonatal injury and adult substance use disorder makes this diagnosis unlikely to provide meaningful predictive value for future OUD risk."
P11,0,60,Other birth injuries to central nervous system,0,0.9,"Birth injuries to central nervous system are perinatal complications unrelated to future OUD risk. With 0% OUD prevalence among 60 patients, there's no statistical signal. These injuries occur during delivery and don't create meaningful vulnerability to substance use disorders later in life. No clinical plausibility for predicting OUD."
P14,0,237,Birth injury to peripheral nervous system,0,0.9,"Birth injury to peripheral nervous system is a neonatal condition with no patients developing OUD (0/237). While birth injuries could theoretically lead to chronic pain requiring opioids, this specific peripheral nervous system injury shows zero predictive signal and lacks clear clinical pathway to future OUD risk. The complete absence of OUD cases makes it uninformative for prediction."
P51,0,14,Umbilical hemorrhage of newborn,0,0.95,"Umbilical hemorrhage of newborn is a neonatal condition with no plausible clinical connection to future OUD risk. It occurs in the immediate postnatal period and has no relationship to pain pathways, substance use vulnerabilities, or opioid exposure patterns that would predict adult OUD. The 0% OUD prevalence confirms lack of predictive signal."
P53,0,42,Haemorrhagic disease of fetus and newborn,0,0.95,"P53 is a neonatal diagnosis for hemorrhagic disease in newborns, typically related to vitamin K deficiency or coagulation disorders. This condition has no plausible clinical connection to future OUD risk, pain management, or substance use vulnerabilities. The 0% OUD prevalence among 42 patients confirms lack of predictive signal. This perinatal condition is unrelated to addiction pathways."
P56,0,11,Hydrops fetalis due to hemolytic disease,0,0.95,"Hydrops fetalis due to hemolytic disease is a fetal/neonatal condition occurring in utero or at birth, with no plausible clinical connection to future OUD risk. The 0% OUD prevalence among 11 patients shows no predictive signal. This perinatal diagnosis has no relationship to opioid exposure, pain conditions, or substance use vulnerabilities that would predict adult OUD development."
Q00,0,111,Anencephaly and similar malformations,0,0.95,"Anencephaly is a severe congenital brain malformation incompatible with long-term survival. Affected infants typically die within days or weeks of birth, making future OUD development impossible. The 0% OUD prevalence reflects this biological reality rather than protective factors. This diagnosis provides no predictive value for OUD risk in surviving patients."
Q34,0,423,Other congenital malformations of respiratory system,0,0.9,"Congenital respiratory malformations are structural birth defects unrelated to opioid exposure risk factors. With 0% OUD prevalence among 423 patients, there's no statistical signal for predictive value. These conditions lack clinical plausibility for OUD prediction as they don't involve pain pathways, substance use vulnerabilities, or behavioral factors associated with opioid misuse risk."
Q36,0,1493,Cleft lip,0,0.9,"Cleft lip is a congenital structural anomaly with no plausible clinical connection to future OUD risk. With 0% OUD prevalence among 1,493 patients, it shows no predictive signal. This birth defect doesn't relate to pain conditions, substance use vulnerabilities, or opioid exposure patterns that would inform OUD prediction."
Q73,0,75,Reduction defects of unspecified limb,0,0.9,"Q73 represents congenital limb reduction defects, a rare developmental anomaly. With 0% OUD prevalence among 75 patients, there's no statistical signal for predictive value. While limb defects could theoretically lead to chronic pain and opioid exposure, the complete absence of OUD cases suggests no meaningful association. The diagnosis lacks predictive relevance for OUD risk."
Q97,0,41,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",0,0.9,"This diagnosis represents rare chromosomal abnormalities in females with no observed cases of OUD (0/41 patients). While chromosomal conditions could theoretically influence pain sensitivity or healthcare utilization, the complete absence of OUD cases and lack of established clinical connection to opioid risk makes this diagnosis unlikely to provide meaningful predictive value for OUD."
R86,0,155,Abnormal findings in specimens from male genital organs,0,0.85,"This diagnosis shows no statistical signal (0% OUD prevalence among 155 patients) and lacks clinical plausibility for predicting OUD risk. Abnormal findings in male genital specimens are unrelated to pain conditions, opioid exposure pathways, or substance use vulnerabilities that typically precede OUD development."
S07,0,89,Crushing injury of head,1,0.7,"Crushing head injuries typically require significant opioid pain management during acute treatment and recovery phases, creating legitimate opioid exposure that could increase future OUD risk. While no OUD cases appear in this small sample (89 patients), the clinical plausibility of opioid exposure from severe traumatic injury management makes this potentially predictive. The zero prevalence may reflect sample size limitations rather than true lack of association."
S78,0,52,Traumatic amputation of hip and thigh,1,0.7,"Traumatic amputation of hip/thigh represents severe trauma requiring extensive pain management with opioids during acute and chronic phases. Despite 0% OUD prevalence in this small sample (n=52), the clinical plausibility for opioid exposure and chronic pain risk is strong. The absence of OUD cases may reflect sample size limitations rather than true lack of association."
T04,0,1,nan,0,0.9,"T04 is a trauma code for crushing injuries involving multiple body regions. While severe trauma may lead to opioid exposure for pain management, the extremely limited data (only 1 patient, 0% OUD prevalence) provides no statistical signal for predictive value. The missing description and lack of any positive cases make this diagnosis uninformative for OUD prediction modeling."
T64,0,8,Toxic effect of aflatoxin and other mycotoxin food contaminants,0,0.9,"Aflatoxin and mycotoxin food poisoning has no clinically plausible connection to opioid use disorder risk factors like pain, substance use vulnerabilities, or opioid exposure pathways. With 0% OUD prevalence among affected patients and no logical biological or behavioral mechanism linking food contaminant toxicity to future opioid addiction risk, this diagnosis lacks predictive relevance."
V11,0,113,Pedal cycle rider injured in collision with other pedal cycle,0,0.9,"This diagnosis represents a specific bicycle accident with no clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 113 patients, it shows no statistical signal for prediction. Bicycle accidents are unrelated to substance use vulnerabilities, pain conditions, or other OUD risk pathways, making inclusion clinically implausible and statistically uninformative."
V12,0,11,Pedal cycle rider injured in collision with two- or three-wheeled motor vehicle,0,0.9,"This highly specific traffic accident code (pedal cycle vs motor vehicle collision) has no clinical plausibility for predicting OUD risk. With 0% OUD prevalence among 11 patients, it shows no statistical signal. Traffic accidents are random events unrelated to substance use vulnerabilities, pain conditions, or other OUD risk factors."
V14,0,43,Pedal cycle rider injured in collision with heavy transport vehicle or bus,0,0.9,"This specific traffic accident code (pedal cycle vs heavy transport vehicle) has no patients with OUD (0/43), indicating no predictive signal. While trauma can lead to opioid exposure, this highly specific accident type lacks clinical plausibility for OUD prediction compared to broader injury categories. The zero prevalence and narrow specificity make it uninformative for the predictive model."
V15,0,8,Pedal cycle rider injured in collision with railway train or railway vehicle,0,0.9,"This highly specific trauma code (pedal cycle vs railway collision) has zero OUD cases among 8 patients, showing no predictive signal. While trauma can lead to opioid exposure, this extremely rare and specific accident type lacks clinical plausibility for OUD prediction. The complete absence of positive cases and highly specific nature make it unsuitable as a predictive feature."
V21,0,61,Motorcycle rider injured in collision with pedal cycle,0,0.9,"This specific motorcycle accident code shows 0% OUD prevalence among 61 patients, indicating no predictive signal. While trauma patients may receive opioids for pain management, this highly specific accident type lacks clinical plausibility for OUD prediction. The complete absence of positive cases and narrow specificity make it uninformative for the predictive model."
V22,0,133,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle,1,0.7,"Motorcycle accidents often result in significant injuries requiring opioid pain management, creating potential exposure risk for future OUD. While no OUD cases were observed in this small sample (133 patients), the clinical plausibility of pain-related opioid exposure following traumatic injury makes this diagnosis potentially predictive. The zero prevalence may reflect sample size limitations rather than true lack of association."
V25,0,31,Motorcycle rider injured in collision with railway train or railway vehicle,0,0.9,"This highly specific trauma code (motorcycle-railway collision) has zero OUD cases among 31 patients, providing no predictive signal. While trauma can lead to opioid exposure, this extremely rare and specific accident type lacks clinical plausibility for OUD prediction. The complete absence of positive cases and highly specific nature make it uninformative for the model."
V30,0,2,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,0,0.9,"This highly specific motor vehicle accident code has zero OUD cases among 2 patients, providing no predictive signal. While trauma can lead to opioid exposure, this particular collision type (three-wheeled vehicle vs pedestrian/animal) is too rare and specific to offer meaningful predictive value for OUD risk modeling."
V31,0,2,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle,0,0.9,"This highly specific motor vehicle accident code has zero OUD cases among 2 patients, showing no predictive signal. While trauma can lead to opioid exposure, this particular collision type (three-wheeled vehicle vs bicycle) is too narrow and rare to provide meaningful predictive value. The absence of any OUD cases and extreme specificity make it unsuitable as a feature."
V32,0,2,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle,0,0.9,"This highly specific motor vehicle accident code has zero OUD cases among 2 patients, providing no predictive signal. While trauma/accidents can lead to opioid exposure, this particular three-wheeled vehicle collision code is too narrow and rare to offer meaningful predictive value. The complete absence of OUD cases suggests no association with future OUD risk."
V33,0,6,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van",0,0.9,"This is a highly specific injury code for three-wheeled motor vehicle accidents. With 0% OUD prevalence among 6 patients, it shows no predictive signal. While trauma can lead to opioid exposure, this extremely specific accident type lacks clinical plausibility for OUD prediction and provides no statistical value for the model."
V37,0,12,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,0,0.9,"This diagnosis represents a specific traffic accident involving a three-wheeled motor vehicle. With 0% OUD prevalence among 12 patients, there's no statistical signal for predictive value. The diagnosis lacks clinical plausibility for OUD risk prediction, as it's an external cause code for a specific accident type rather than a condition associated with pain, substance use vulnerabilities, or opioid exposure pathways."
V38,0,58,Occupant of three-wheeled motor vehicle injured in noncollision transport accident,0,0.9,"This highly specific transport accident code shows 0% OUD prevalence among 58 patients, indicating no predictive signal. Three-wheeled vehicle accidents are too rare and specific to provide meaningful predictive value for OUD risk. The diagnosis lacks clinical plausibility for opioid-related vulnerabilities and offers no statistical evidence of association with future OUD development."
V39,0,74,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,0,0.9,"This diagnosis represents a specific type of transport accident with no clear clinical connection to OUD risk factors. With 0% OUD prevalence among 74 patients, it shows no statistical signal for prediction. Transport accidents involving three-wheeled vehicles lack plausible association with opioid exposure, pain conditions, or substance use vulnerabilities that would make this diagnostically relevant for OUD prediction."
V41,0,38,Car occupant injured in collision with pedal cycle,0,0.9,"This diagnosis represents a specific traffic accident scenario with no patients developing OUD (0/38). Car-pedal cycle collisions have no clinically plausible connection to opioid use disorder risk factors. The diagnosis is too specific and circumstantial to provide meaningful predictive value for OUD, representing random external events rather than patient characteristics or vulnerabilities."
V45,0,33,Car occupant injured in collision with railway train or railway vehicle,1,0.7,"Car-railway collisions often result in severe trauma requiring opioid pain management, creating potential OUD risk. While no OUD cases observed in this small sample (n=33), the clinical plausibility of opioid exposure following such serious accidents makes this potentially predictive. The specificity of this severe trauma type and established link between major injuries and subsequent opioid prescribing supports inclusion despite limited statistical signal."
V50,0,35,Occupant of pick-up truck or van injured in collision with pedestrian or animal,0,0.9,"This is a specific motor vehicle accident code with zero OUD cases among 35 patients (0% prevalence). While trauma patients may receive opioids for pain management, this highly specific accident type shows no statistical signal for OUD prediction. The complete absence of positive cases and lack of clinical plausibility for this particular collision type make it uninformative for predictive modeling."
V52,0,6,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,0,0.9,"This is a highly specific external cause code for vehicle collision injuries with zero OUD cases among 6 patients (0% prevalence). While trauma/injury can lead to opioid exposure, this extremely specific collision type lacks clinical plausibility for OUD prediction and shows no statistical signal. The specificity is too narrow to be meaningfully predictive."
V55,0,4,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,0,0.9,"This is a highly specific external cause code for vehicle-railway collisions with extremely low frequency (4 patients, 0% OUD prevalence). While trauma patients may receive opioids for pain management, this ultra-specific mechanism provides no meaningful predictive signal over broader injury categories. The code is too granular and rare to contribute useful information for OUD prediction modeling."
V56,0,11,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,0,0.9,"This is a highly specific external cause code for vehicle accidents with zero OUD cases among 11 patients (0% prevalence). While trauma/injury can lead to opioid exposure, this particular collision type is too narrow and shows no statistical signal for OUD prediction. The specificity of 'pick-up truck/van vs nonmotor vehicle' makes it unlikely to be generalizable or predictively useful."
V60,0,10,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,0,0.9,"This diagnosis represents a specific traffic accident involving heavy transport vehicles. With 0% OUD prevalence among affected patients and no clear clinical pathway connecting vehicle accidents to opioid use disorder risk, it lacks predictive relevance. The diagnosis is too specific and situational to provide meaningful signal for OUD prediction."
V62,0,2,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,0,0.9,"This is a highly specific motor vehicle accident code with only 2 patients, none developing OUD (0% prevalence). While trauma can lead to opioid exposure, this particular collision type lacks clinical plausibility for OUD prediction and shows no statistical signal. The extreme rarity and zero predictive signal make it unsuitable as a feature."
V64,0,50,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,0,0.9,"This diagnosis represents a specific traffic accident involving heavy transport vehicles. With 0% OUD prevalence among 50 patients, it shows no statistical signal for OUD prediction. While trauma patients may receive opioids for pain management, this highly specific accident type lacks clinical plausibility as an OUD risk predictor compared to broader injury or pain-related diagnoses."
V65,0,14,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,0,0.9,"This diagnosis represents a specific traffic accident involving heavy transport vehicles and railway trains. With 0% OUD prevalence among 14 patients, there's no statistical signal for predictive value. While trauma patients may receive opioids for pain management, this highly specific accident type lacks clinical plausibility for OUD risk prediction and would likely contribute noise rather than meaningful signal."
V66,0,22,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,0,0.9,"This diagnosis represents a specific traffic accident involving heavy transport vehicles. With 0% OUD prevalence among 22 patients, it shows no statistical signal for OUD prediction. While trauma patients may receive opioids for pain management, this highly specific accident type lacks clinical plausibility as a meaningful OUD risk predictor compared to broader injury or pain-related diagnoses."
V71,0,36,Bus occupant injured in collision with pedal cycle,0,0.9,"This is a very specific traffic accident code with zero OUD cases among 36 patients, showing no predictive signal. While trauma can lead to opioid exposure, this particular mechanism (bus-bicycle collision) is too specific and rare to provide meaningful predictive value. The complete absence of OUD cases suggests no association with future OUD risk."
V72,0,6,Bus occupant injured in collision with two- or three-wheeled motor vehicle,1,0.7,"Bus collision injuries often require opioid pain management for trauma-related pain, creating potential opioid exposure risk. While sample size is small (6 patients, 0% OUD rate), the clinical plausibility of pain-related opioid prescribing following motor vehicle trauma makes this potentially predictive. The diagnosis precedes OUD onset and represents a legitimate risk factor rather than consequence."
V75,0,102,Bus occupant injured in collision with railway train or railway vehicle,0,0.9,"This is a highly specific trauma code for bus-railway collisions with zero OUD cases among 102 patients (0% prevalence). While trauma can lead to opioid exposure, this extremely rare and specific accident type shows no statistical signal for OUD prediction and lacks sufficient clinical relevance to justify inclusion in the model."
V90,0,15,Drowning and submersion due to accident to watercraft,0,0.9,"Drowning/submersion due to watercraft accidents is a highly specific traumatic event with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 15 patients, there's no statistical signal for predictive value. This acute accident type lacks plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would inform OUD prediction."
V91,0,156,Other injury due to accident to watercraft,0,0.9,"Watercraft accidents are highly specific incidents unrelated to opioid exposure pathways, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 156 patients, there's no statistical signal for predictive value. This diagnosis lacks clinical plausibility for OUD risk prediction and would likely add noise rather than meaningful information to the model."
V95,0,38,Accident to powered aircraft causing injury to occupant,0,0.9,"Aircraft accidents are extremely rare events with no clinically plausible connection to OUD risk factors. While trauma can lead to opioid exposure, this highly specific accident type lacks meaningful predictive signal (0% OUD prevalence, only 38 cases). The diagnosis is too rare and circumstantially specific to provide useful predictive information for OUD risk modeling."
V96,0,11,Accident to nonpowered aircraft causing injury to occupant,0,0.9,"Aircraft accidents are extremely rare, random events with no plausible clinical connection to OUD risk factors like chronic pain, substance use vulnerabilities, or psychiatric comorbidities. With 0% OUD prevalence among 11 patients, there's no statistical signal. This diagnosis provides no meaningful predictive information for OUD and would likely introduce noise to the model."
W35,0,31,Explosion and rupture of boiler,0,0.9,This diagnosis represents a very specific industrial accident (boiler explosion/rupture) with no patients developing OUD among 31 cases. There is no clinically plausible pathway connecting boiler accidents to OUD risk. The 0% prevalence and highly specific nature of this occupational injury code provides no predictive signal for future opioid use disorder.
W37,0,39,"Explosion and rupture of pressurized tyre, pipe or hose",0,0.9,"This diagnosis represents a specific external cause of injury (explosion/rupture of pressurized equipment) with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 39 patients, there's no statistical signal for predictive value. The diagnosis lacks biological plausibility for opioid use disorder prediction and appears to be an incidental finding unrelated to substance use vulnerabilities."
W42,0,27,Exposure to noise,0,0.9,"Exposure to noise (W42) shows no statistical signal for OUD prediction (0% prevalence among 27 patients vs baseline). This environmental exposure code lacks clinical plausibility for predicting opioid use disorder, as noise exposure has no established pathway to opioid misuse, pain conditions, or substance use vulnerabilities. The complete absence of predictive signal makes inclusion unlikely to improve model performance."
W56,0,93,Contact with nonvenomous marine animal,0,0.9,"Contact with nonvenomous marine animals has no clinically plausible connection to OUD risk factors like pain conditions, substance use vulnerabilities, or opioid exposure pathways. With 0% OUD prevalence among 93 patients, there's no statistical signal for predictive value. This highly specific environmental exposure lacks any meaningful relationship to opioid use disorder development."
W58,0,9,Contact with crocodile or alligator,0,0.95,"Contact with crocodile or alligator is an extremely rare, specific external cause code with no plausible clinical connection to OUD risk factors. With 0% OUD prevalence among 9 patients, it shows no statistical signal for prediction. This diagnosis relates to accidental animal contact rather than pain, substance use, or other OUD-relevant pathways."
W59,0,228,Contact with other nonvenomous reptiles,0,0.95,"Contact with nonvenomous reptiles is an external cause code with no clinical plausibility for predicting OUD risk. It lacks any reasonable connection to opioid exposure, pain conditions, substance use vulnerabilities, or OUD risk factors. With 0% OUD prevalence among 228 patients, it provides no statistical signal and would not contribute meaningful predictive value to the model."
W73,0,2,Other specified drowning and submersion,0,0.9,"This diagnosis represents a specific drowning/submersion incident with no clear clinical pathway to OUD risk. The 0% OUD prevalence among the 2 patients and lack of plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities makes it unlikely to provide predictive value for future OUD development."
X13,0,244,Contact with steam and other hot vapors,0,0.9,"Contact with steam and hot vapors is an accidental injury code with no clinical plausibility for predicting OUD risk. The 0% OUD prevalence among 244 patients shows no statistical signal. This diagnosis lacks any reasonable connection to opioid exposure, pain conditions, substance use vulnerabilities, or other OUD risk factors."
X34,0,12,Earthquake,0,0.9,"Earthquake exposure (X34) shows no statistical signal for OUD prediction (0% prevalence among 12 patients). While trauma exposure could theoretically increase OUD risk through pain/PTSD pathways, this specific environmental code lacks clinical specificity and predictive relevance. The complete absence of OUD cases among exposed patients suggests no meaningful predictive value for the model."
X35,0,15,Victim of volcanic eruption,0,0.95,"Being a victim of volcanic eruption has no clinically plausible connection to OUD risk factors like pain conditions, substance use vulnerabilities, or opioid exposure pathways. The 0% OUD prevalence among 15 patients provides no predictive signal. This extremely rare environmental disaster code lacks any meaningful biological or behavioral pathway to opioid use disorder development."
X38,0,8,Flood,0,0.9,"X38 (Flood) is an external cause code for natural disaster exposure with no direct clinical relationship to opioid use disorder risk factors. With 0% OUD prevalence among 8 patients, it shows no predictive signal. Flood exposure lacks plausible biological or behavioral pathways to OUD development, making it clinically irrelevant for prediction."
X75,0,2,Intentional self-harm by explosive material,0,0.8,"While intentional self-harm may indicate mental health vulnerabilities that could correlate with substance use disorders, this specific code (explosive material) represents an extremely rare and unusual method. With only 2 cases and 0% OUD prevalence, it provides no predictive signal. The extreme rarity and lack of statistical association make it unsuitable as a predictive feature."
X79,0,58,Intentional self-harm by blunt object,1,0.7,"Intentional self-harm represents significant mental health distress and suicidal behavior, which are established risk factors for substance use disorders including OUD. Self-harm patients often have underlying pain, trauma, and psychiatric comorbidities that increase OUD vulnerability. While the 0% OUD rate in this sample suggests negative association, the strong clinical plausibility and known connection between self-harm and substance use disorders supports inclusion."
X92,0,7,Assault by drowning and submersion,0,0.9,"Assault by drowning/submersion is a highly specific violent trauma with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 7 patients, there's no statistical signal for predictive value. This acute traumatic event lacks plausible connection to opioid exposure patterns, pain conditions, or substance use vulnerabilities that would inform OUD prediction."
Y02,0,20,Assault by pushing or placing victim before moving object,0,0.9,"This highly specific assault code (Y02) has zero OUD cases among 20 patients, providing no predictive signal. While trauma/violence can theoretically relate to substance use risk, this particular mechanism (pushing victim before moving object) is too narrow and shows no statistical association with OUD. The extreme rarity and lack of any positive cases make it uninformative for prediction."
Y25,0,6,"Contact with explosive material, undetermined intent",0,0.9,"Contact with explosive material has no clinically plausible connection to OUD risk factors like pain, substance use, or medical vulnerabilities. With 0% OUD prevalence among 6 patients, there's no statistical signal for predictive value. This external cause code lacks any meaningful pathway to opioid exposure or addiction risk."
Y26,0,31,"Exposure to smoke, fire and flames, undetermined intent",0,0.8,"While exposure to smoke/fire with undetermined intent could theoretically indicate risk-taking behavior or self-harm, the complete absence of OUD cases (0/31) provides no statistical signal for prediction. The diagnosis is too rare and shows zero predictive value in this dataset, making it uninformative for the model despite potential clinical plausibility."
Y31,0,36,"Falling, lying or running before or into moving object, undetermined intent",0,0.8,"This diagnosis represents accidental injury with undetermined intent, showing 0% OUD prevalence among 36 patients. While injuries can lead to opioid exposure, this specific code lacks clinical plausibility for OUD prediction - it's too rare, shows no statistical signal (0% prevalence), and represents a very specific circumstance unlikely to be predictive of future OUD risk."
Y62,0,18,Failure of sterile precautions during surgical and medical care,0,0.85,"This diagnosis represents a healthcare quality/safety issue rather than a patient risk factor. It reflects procedural failures during medical care, not patient characteristics that would predict OUD risk. The 0% OUD prevalence among affected patients suggests no predictive signal. This is more likely a documentation of healthcare system issues rather than meaningful patient-level risk information."
Y64,0,18,Contaminated medical or biological substances,0,0.9,"Y64 represents contaminated medical/biological substances, which is primarily a healthcare quality/safety issue rather than a patient risk factor. With 0% OUD prevalence among 18 patients, it shows no predictive signal. This diagnosis reflects external contamination events rather than patient characteristics that would predispose to OUD development."
Y72,0,72,Otorhinolaryngological devices associated with adverse incidents,0,0.9,"This diagnosis relates to adverse incidents with ENT medical devices, which has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 72 patients, it shows no statistical signal for predictive value. The diagnosis is too specific to device complications and lacks any pathway to OUD risk."
Y78,0,89,Radiological devices associated with adverse incidents,0,0.9,"Y78 represents adverse incidents with radiological devices, which has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. The 0% OUD prevalence among 89 patients provides no statistical signal. This administrative code lacks any meaningful pathway to future opioid use disorder development."
Y80,0,15,Physical medicine devices associated with adverse incidents,0,0.9,"Y80 represents adverse incidents with physical medicine devices, which has no clear clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. With 0% OUD prevalence among 15 patients, there's no statistical signal. This administrative code lacks biological plausibility for OUD prediction."
